Distance_(pixels),Gray_Value
0,21.5313
1,20.8473
2,19.7240
3,18.0864
4,16.5478
5,15.0089
6,13.5747
7,12.0910
8,11.0703
9,10.4157
10,9.5422
11,9.5197
12,10.4462
13,11.6311
14,13.1668
15,14.4442
16,16.3226
17,17.8887
18,19.6814
19,20.5477
20,21.9712
21,23.5018
22,25.0070
23,26.5014
24,27.8079
25,28.6286
26,29.8348
27,29.8777
28,30.1161
29,30.7062
30,31.0907
31,30.4673
32,29.6755
33,29.4223
34,29.4860
35,28.3853
36,27.2271
37,26.1195
38,25.5060
39,24.9548
40,24.6385
41,24.4194
42,25.6227
43,25.7171
44,26.4970
45,26.8585
46,26.7703
47,26.4000
48,26.1535
49,25.7554
50,24.2992
51,23.4241
52,22.3883
53,20.9135
54,19.4805
55,17.2790
56,14.9962
57,13.4443
58,11.4160
59,10.3496
60,10.1040
61,10.5398
62,11.7726
63,13.3535
64,15.5025
65,17.2005
66,18.7688
67,19.6924
68,21.5754
69,23.2477
70,24.7883
71,26.5715
72,28.3570
73,29.4510
74,31.8172
75,32.2805
76,33.0354
77,33.7833
78,34.2593
79,34.1110
80,33.6498
81,33.0873
82,32.0480
83,31.1382
84,30.3661
85,29.4718
86,28.7843
87,28.1191
88,27.6265
89,27.3845
90,28.1144
91,28.4010
92,28.7944
93,29.0854
94,29.5634
95,29.4574
96,29.1850
97,28.8672
98,27.1384
99,26.0030
100,24.8424
101,22.8495
102,20.8805
103,18.2394
104,15.4051
105,13.0477
106,10.5469
107,9.5728
108,9.3527
109,9.8925
110,11.8014
111,14.0067
112,16.2777
113,17.5504
114,20.6989
115,21.8302
116,23.5141
117,25.0936
118,26.9964
119,28.8863
120,30.5817
121,31.7044
122,33.3190
123,33.7651
124,34.6148
125,35.2119
126,35.5842
127,35.3958
128,34.9119
129,34.2316
130,33.1205
131,32.0090
132,30.9760
133,29.5841
134,28.6136
135,28.1537
136,28.3749
137,28.8286
138,28.7585
139,29.2958
140,29.8585
141,29.6317
142,29.5698
143,29.4358
144,29.1442
145,28.3736
146,26.4892
147,25.0043
148,23.6372
149,21.6177
150,19.6110
151,17.3033
152,15.1715
153,13.5097
154,11.7395
155,10.9588
156,10.7663
157,11.1438
158,12.9840
159,15.0375
160,16.9155
161,18.0564
162,19.8636
163,21.3393
164,23.4386
165,25.3158
166,26.7833
167,28.0222
168,29.5305
169,30.7282
170,32.7602
171,32.8186
172,32.7790
173,32.7270
174,32.8047
175,32.3888
176,32.0239
177,31.8173
178,30.5150
179,29.2771
180,28.5902
181,28.0250
182,27.9960
183,27.8773
184,27.8653
185,27.8021
186,27.8262
187,27.2089
188,26.6894
189,26.0820
190,25.6783
191,25.1141
192,24.3721
193,23.5836
194,22.2926
195,20.9751
196,19.7979
197,18.3078
198,16.5575
199,14.3854
200,12.7309
201,11.7509
202,10.8752
203,11.0544
204,11.7373
205,12.3980
206,13.6921
207,15.2618
208,16.9049
209,18.2661
210,20.4911
211,21.7207
212,23.3311
213,24.7891
214,26.3590
215,27.7127
216,28.5033
217,28.9645
218,29.7111
219,29.8734
220,29.7014
221,29.2438
222,29.0053
223,28.9033
224,28.7896
225,28.3279
226,28.2438
227,27.7010
228,27.2453
229,26.4159
230,26.1725
231,26.0083
232,26.2416
233,26.3305
234,25.9859
235,24.9552
236,24.0910
237,23.0692
238,21.9556
239,20.3809
240,19.3639
241,18.8727
242,17.6938
243,16.3747
244,15.0156
245,13.8574
246,13.2280
247,12.6625
248,12.5052
249,12.6471
250,14.5353
251,15.6973
252,17.4077
253,18.7691
