Distance_(pixels),Gray_Value
0,26.2609
1,27.6304
2,30.7246
3,34.6304
4,36.3913
5,40.4638
6,46.4493
7,50.8623
8,54.5290
9,58.4348
10,61.7101
11,63.8333
12,67.0942
13,68.6522
14,69.6377
15,70.2681
16,72.0942
17,74.5580
18,75.7826
19,75.0072
20,75.3986
21,75.2536
22,76.9348
23,79.5072
24,82.3623
25,84.6014
26,87.2101
27,89.3551
28,90.3841
29,92.0072
30,94.3623
31,95.9203
32,95.4130
33,93.8913
34,93.5145
35,93.3333
36,87.3841
37,84.6522
38,81.0580
39,76.5725
40,72.5797
41,70.5290
42,71.8116
43,73.5217
44,80.5942
45,81.8623
46,83.8188
47,85.9203
48,88.8986
49,91.4203
50,93.8406
51,95.5072
52,95.3261
53,95.5580
54,96.6232
55,96.8768
56,96.0652
57,94.8333
58,94.5580
59,94.8913
60,93.5942
61,91.1014
62,90.0145
63,89.6667
64,89.9638
65,91.8333
66,93.7464
67,93.6956
68,97.1522
69,99.4493
70,100.8551
71,99.8116
72,97.8768
73,95.5362
74,93.5435
75,91.6594
76,85.6739
77,82.1739
78,77.5435
79,71.4058
80,65.9130
81,61.6739
82,59.2826
83,58.5290
84,61.4710
85,64.7609
86,70.6812
87,77.6159
88,83.8768
89,88.3913
90,91.8478
91,94.5000
92,97.2609
93,99.1159
94,101.6159
95,104.0362
96,105.8623
97,106.9928
98,107.9928
99,108.4928
100,109.0290
101,108.7826
102,107.9565
103,106.2464
104,104.7174
105,103.2536
106,102.8841
107,102.7464
108,102.1957
109,102.7246
110,103.7246
111,104.1159
112,104.1304
113,103.5870
114,102.8841
115,101.2754
116,97.1087
117,92.0725
118,85.2319
119,77.6957
120,71.2391
121,67.8551
122,66.9565
123,67.5072
124,72.7464
125,78.1739
126,84.7029
127,88.7754
128,91.2971
129,93.6449
130,96.0942
131,98.9638
132,103.7391
133,105.5797
134,107.0652
135,108.4275
136,109.8768
137,110.4058
138,110.3044
139,109.8841
140,108.7609
141,108.3551
142,108.1159
143,107.3406
144,106.4783
145,105.7971
146,105.8116
147,106.2029
148,106.6014
149,106.7101
150,106.9058
151,106.7681
152,106.0000
153,104.1884
154,101.6812
155,99.2464
156,94.7899
157,88.9493
158,82.2246
159,76.6739
160,72.3623
161,69.5725
162,70.1232
163,73.4928
164,84.0652
165,88.7246
166,93.5290
167,98.1812
168,101.8116
169,103.7899
170,105.2536
171,106.0000
172,107.7681
173,108.1812
174,108.6377
175,108.9638
176,109.6159
177,110.0507
178,110.6739
179,109.8188
180,107.4275
181,106.6304
182,106.7464
183,106.2971
184,106.0000
185,105.6159
186,105.4710
187,105.2101
188,104.1087
189,102.9058
190,101.6232
191,100.5797
192,99.3768
193,97.0870
194,94.2174
195,90.3768
196,81.9638
197,77.2101
198,72.8913
199,69.1739
200,67.1449
201,68.3841
202,73.0652
203,77.7391
204,86.0580
205,89.5217
206,94.2029
207,98.5942
208,101.8913
209,104.1014
210,105.0145
211,105.9783
212,108.4348
213,109.2029
214,109.2101
215,109.0507
216,108.9855
217,108.5435
218,108.2029
219,107.7101
220,106.9855
221,106.5507
222,106.2899
223,106.0145
224,105.7464
225,105.1812
226,104.5507
227,104.0290
228,104.8406
229,104.3043
230,103.0725
231,101.0145
232,98.3768
233,94.2174
234,88.0000
235,82.4638
236,73.6739
237,71.5507
238,70.9855
239,71.6087
240,74.5652
241,77.8986
242,82.4420
243,86.0435
244,89.1377
245,92.0362
246,96.8043
247,100.8986
248,104.2101
249,105.7899
250,107.2536
251,107.8188
252,108.0000
253,108.2464
254,107.9928
255,107.3913
256,106.6014
257,105.5290
258,105.2319
259,104.8768
260,103.8188
261,104.1812
262,104.9638
263,104.9710
264,104.2681
265,102.8696
266,102.1159
267,101.0072
268,99.1957
269,95.0797
270,90.7246
271,86.6884
272,82.0072
273,76.0797
274,70.7101
275,68.0507
276,69.0942
277,71.9348
278,76.8116
279,81.3333
280,85.2464
281,87.8261
282,89.7464
283,91.2609
284,93.3333
285,96.2391
286,99.8986
287,103.0290
288,105.4275
289,106.8551
290,107.6884
291,107.0870
292,105.2899
293,102.8696
294,101.1739
295,99.9275
296,98.7174
297,97.8841
298,98.2174
299,99.1522
300,101.4130
301,101.1522
302,100.3116
303,99.0580
304,96.7536
305,93.2464
306,89.0870
307,84.9783
308,74.4420
309,69.6449
310,65.0942
311,61.4710
312,60.5000
313,61.7174
314,65.4275
315,68.3913
316,70.2609
317,73.1956
318,75.7681
319,78.4420
320,82.1522
321,86.2826
322,89.1667
323,90.4420
324,90.9638
325,92.2754
326,94.9275
327,97.2536
328,98.9565
329,99.3261
330,99.4203
331,98.8551
332,99.0942
333,98.3696
334,97.5580
335,96.1884
336,96.2391
337,96.2391
338,94.6812
339,91.7174
340,87.8841
341,84.7609
342,80.8623
343,75.5290
344,69.9420
345,64.9203
346,61.4348
347,59.4710
348,58.1957
349,57.7319
350,60.0145
351,64.7464
352,70.5435
353,75.2971
354,80.0507
355,83.8551
356,86.1159
357,86.8623
358,88.3188
359,90.0870
360,91.3406
361,91.9638
362,91.6232
363,91.7899
364,92.5362
365,91.2971
366,87.8116
367,84.0145
368,81.5870
369,79.8768
370,77.3333
371,74.1014
372,69.3478
373,68.0145
374,67.0725
375,64.7101
376,61.8116
377,58.2464
378,55.6739
379,53.5435
380,49.5217
381,47.8261
382,45.7826
383,42.8116
384,40.5435
385,37.6884
386,34.7826
387,32.2826
