Distance_(pixels),Gray_Value
0,40.6003
1,44.0890
2,48.3647
3,48.4994
4,50.1988
5,53.4981
6,58.1028
7,61.0851
8,62.1506
9,61.2233
10,59.0088
11,59.6535
12,61.4183
13,62.8201
14,63.7863
15,63.8341
16,63.3352
17,62.1400
18,61.0647
19,58.6636
20,54.9008
21,52.4049
22,53.1768
23,55.6971
24,56.9295
25,55.7994
26,56.6405
27,57.2673
28,58.4207
29,58.4710
30,57.6035
31,54.5218
32,51.6703
33,48.8639
34,42.2506
35,39.3490
36,37.3442
37,33.1621
38,26.2101
39,18.8214
40,15.1121
41,14.7789
42,19.3258
43,22.8052
44,28.9579
45,36.3395
46,43.0980
47,48.8631
48,53.1534
49,55.7466
50,57.8279
51,60.3972
52,63.1584
53,65.8151
54,67.4413
55,68.5927
56,69.4174
57,70.2486
58,71.1236
59,71.5977
60,70.7081
61,68.9732
62,67.2820
63,66.2270
64,66.8824
65,67.8406
66,68.0277
67,68.4437
68,69.1625
69,68.8139
70,68.2867
71,67.3217
72,66.2151
73,64.3004
74,59.2441
75,55.6388
76,46.9661
77,37.5223
78,31.6406
79,31.1729
80,30.1563
81,28.2944
82,32.1684
83,40.3826
84,49.4186
85,52.1652
86,52.5855
87,54.1237
88,56.0393
89,58.5544
90,65.2986
91,67.0498
92,67.9191
93,68.2398
94,68.9382
95,69.1254
96,69.1349
97,68.9669
98,68.8437
99,68.3952
100,67.8063
101,66.1883
102,64.1709
103,62.5316
104,62.2335
105,62.3878
106,62.4760
107,62.7201
108,63.0461
109,62.3059
110,61.1662
111,58.9972
112,56.6508
113,54.2012
114,51.3889
115,44.6956
116,40.3803
117,37.8876
118,33.3070
119,28.4315
120,29.5943
121,37.1289
122,50.9240
123,54.7628
124,57.6094
125,60.3897
126,62.4739
127,63.7511
128,64.5917
129,65.1436
130,65.7774
131,66.6781
132,67.1792
133,67.5770
134,67.9083
135,68.3215
136,68.7425
137,68.0601
138,66.1632
139,65.6073
140,65.7630
141,65.9634
142,66.3567
143,66.4985
144,66.3517
145,66.0646
146,65.9333
147,65.8098
148,64.2125
149,61.6230
150,60.2634
151,58.5412
152,54.7897
153,49.3794
154,43.5693
155,41.3595
156,36.1139
157,28.8340
158,24.8900
159,28.8377
160,36.3806
161,42.3335
162,48.9351
163,50.4692
164,53.1950
165,57.0016
166,60.2963
167,62.9679
168,62.4610
169,62.1829
170,66.3558
171,67.3502
172,67.3512
173,66.6181
174,65.8545
175,64.8754
176,63.9398
177,62.6406
178,61.4590
179,60.9878
180,61.0046
181,60.8059
182,60.6508
183,60.1319
184,59.6567
185,60.0399
186,63.1335
187,64.0485
188,62.8960
189,60.4168
190,57.5368
191,53.6264
192,47.1183
193,41.0810
194,33.2316
195,34.0886
196,34.6890
197,34.8847
198,37.8609
199,42.5434
200,47.2287
201,48.5309
202,46.4033
203,49.4314
204,55.2818
205,60.3249
206,64.0422
207,64.9895
208,65.9816
209,66.3517
210,65.9149
211,66.1156
212,66.2130
213,66.9850
214,66.4688
215,65.5160
216,65.0157
217,65.1532
218,66.2616
219,66.8226
220,67.5028
221,68.0801
222,67.9618
223,65.5183
224,62.7498
225,59.1005
226,54.7558
227,49.4933
228,43.8317
229,38.2522
230,33.1622
231,28.7465
232,24.3756
233,22.9012
234,28.6195
235,31.3082
236,34.9773
237,40.7259
238,47.1837
239,51.2538
240,52.9587
241,53.2616
242,51.4217
243,54.5871
244,59.7948
245,64.9338
246,67.4484
247,67.1166
248,67.2715
249,66.8021
250,66.9677
251,62.4719
252,59.3518
253,57.3852
254,54.8684
255,53.0235
256,53.7395
257,56.3497
258,60.3726
259,61.0677
260,61.9535
261,62.5485
262,61.4454
263,57.9773
264,53.5519
265,48.2060
266,34.2358
267,28.6783
268,24.0146
269,21.5040
270,22.6279
271,26.2009
272,31.7786
273,35.3239
274,39.1330
275,43.4283
276,45.5772
277,47.0300
278,51.4165
279,57.4031
280,59.5088
281,58.8071
282,59.0024
283,60.3531
284,62.5640
285,65.0783
286,67.0826
287,67.7977
288,68.0399
289,67.6965
290,67.4729
291,67.2193
292,66.7152
293,65.1068
294,64.6556
295,64.7667
296,63.2203
297,60.2361
298,52.1499
299,49.8853
300,47.1484
301,41.2329
302,33.7342
303,27.2421
304,23.2408
305,21.7646
306,22.3720
307,22.2821
308,27.2759
309,35.4243
310,44.3230
311,51.0800
312,57.7355
