Distance_(pixels),Gray_Value
0,16.6375
1,17.1347
2,18.1803
3,21.1009
4,24.8484
5,28.9564
6,31.6057
7,32.0382
8,33.2501
9,35.2369
10,37.2018
11,38.8771
12,41.0891
13,43.4936
14,45.6808
15,49.9515
16,50.2732
17,50.8156
18,51.4642
19,51.7438
20,51.5234
21,51.0273
22,50.0969
23,48.1203
24,46.3978
25,45.6944
26,45.8572
27,45.8319
28,44.6129
29,43.3102
30,42.6056
31,43.7723
32,44.2243
33,44.6282
34,44.9063
35,46.3698
36,47.8371
37,47.6737
38,45.8728
39,42.8000
40,41.4978
41,40.5504
42,38.2846
43,35.5687
44,31.6200
45,26.5942
46,22.2442
47,18.0608
48,17.0722
49,16.4907
50,17.4670
51,20.8069
52,25.4197
53,30.1940
54,33.0326
55,37.2754
56,38.6392
57,40.7752
58,42.9739
59,44.9901
60,46.5733
61,48.4617
62,50.1752
63,52.2992
64,52.6758
65,53.1908
66,53.0521
67,53.0418
68,53.0068
69,53.3959
70,53.5265
71,52.0108
72,50.3079
73,48.8767
74,47.6901
75,47.2126
76,47.0236
77,46.9479
78,46.7667
79,45.6822
80,46.2243
81,46.8297
82,46.8210
83,46.7388
84,46.6266
85,46.4403
86,45.4069
87,43.3010
88,40.9578
89,38.9942
90,36.4474
91,34.0759
92,30.7195
93,26.8958
94,24.0342
95,20.5033
96,18.1254
97,16.2590
98,16.3849
99,19.7908
100,24.2937
101,27.9742
102,29.9383
103,31.5327
104,34.1961
105,36.7765
106,38.0285
107,39.8926
108,42.9226
109,45.7581
110,47.1217
111,49.3083
112,49.8045
113,50.5447
114,51.2555
115,51.7019
116,51.4575
117,51.0852
118,50.3662
119,48.7870
120,47.5443
121,46.7747
122,45.6805
123,45.1851
124,44.8406
125,44.9583
126,44.9316
127,45.3780
128,44.1666
129,43.3297
130,43.3324
131,44.6766
132,45.6684
133,45.2026
134,43.6840
135,41.5327
136,39.7159
137,37.9052
138,35.1055
139,31.1678
140,25.9431
141,21.5107
142,18.7329
143,16.7589
