Distance_(pixels),Gray_Value
0,74.0556
1,75.0667
2,75.6000
3,76.4333
4,77.8000
5,79.3333
6,80.4444
7,80.6111
8,81.0667
9,82.0333
10,82.6889
11,83.0333
12,83.2111
13,83.3556
14,81.8889
15,82.1222
16,81.1111
17,79.0111
18,77.9778
19,78.6222
20,78.8778
21,78.7778
22,79.2778
23,80.8333
24,82.8333
25,84.3000
26,85.3778
27,86.6667
28,88.4778
29,89.6000
30,87.8000
31,85.6111
32,83.2000
33,81.3222
34,79.3222
35,76.4667
36,73.9556
37,71.9667
38,69.0111
39,66.1111
40,62.3556
41,58.3889
42,56.2222
43,54.9778
44,53.1444
45,51.4667
46,50.4333
47,51.6667
48,54.1556
49,57.3333
50,61.5333
51,65.1556
52,68.9556
53,72.1667
54,76.0000
55,78.5556
56,80.5444
57,82.0111
58,84.1111
59,87.4444
60,90.6667
61,92.3778
62,95.5556
63,96.0667
64,97.0000
65,97.9889
66,98.9444
67,99.3000
68,98.5556
69,97.5556
70,94.0667
71,91.6778
72,88.4000
73,85.5000
74,84.2333
75,84.4778
76,85.3222
77,85.1444
78,86.8556
79,88.8444
80,92.1111
81,93.9667
82,94.1444
83,93.5444
84,93.2444
85,92.6889
86,88.9778
87,87.0778
88,84.5333
89,80.0667
90,74.8222
91,68.9333
92,63.8333
93,60.6444
94,61.4000
95,60.4667
96,61.3111
97,63.4444
98,67.5111
99,72.0333
100,76.7333
101,79.5333
102,75.9889
103,77.5333
104,80.3333
105,83.1333
106,85.4778
107,88.3222
108,91.3556
109,94.0000
110,100.5778
111,100.3667
112,100.2778
113,100.8444
114,101.3222
115,101.2222
116,100.5778
117,100.1000
118,101.1444
119,99.9444
120,99.0444
121,98.4556
122,98.0000
123,96.8889
124,95.3778
125,94.2444
126,95.4111
127,94.6111
128,94.2444
129,94.6556
130,95.5889
131,95.6667
132,94.5778
133,92.5556
134,88.5333
135,86.8111
136,85.6556
137,83.3000
138,80.4778
139,76.8889
140,71.9667
141,67.6444
142,63.7556
143,61.9111
144,60.3778
145,61.4111
146,65.4778
147,70.6556
148,75.7222
149,78.9667
150,84.3889
151,85.7111
152,87.0111
153,88.6778
154,90.6889
155,92.7667
156,94.6556
157,96.4667
158,98.9444
159,99.8667
160,100.5000
161,100.1667
162,99.9111
163,100.0222
164,100.7778
165,101.6778
166,99.3556
167,97.0000
168,94.9444
169,93.4333
170,92.9111
171,92.8889
172,92.6778
173,92.2222
174,89.9667
175,91.2222
176,93.4444
177,94.8111
178,95.1778
179,94.8444
180,94.8889
181,94.1778
182,91.2333
183,87.0778
184,83.8222
185,80.9222
186,78.5778
187,75.4111
188,72.1667
189,69.7444
190,64.3000
191,59.8667
192,56.6778
193,57.6667
194,62.8444
195,68.4444
196,72.1444
197,73.9333
198,75.7000
199,79.0778
200,82.5000
201,84.4000
202,86.5778
203,90.0000
204,93.3222
205,95.0889
206,97.4111
207,98.6889
208,100.1889
209,101.3333
210,101.7556
211,101.5222
212,101.6444
213,101.2222
214,99.0333
215,97.9111
216,97.3222
217,96.3778
218,96.0778
219,95.7667
220,96.0444
221,95.9222
222,94.9889
223,92.7667
224,91.1444
225,90.7778
226,92.4444
227,93.8778
228,93.6111
229,91.6000
230,87.8667
231,84.6222
232,81.5111
233,78.0556
234,73.6556
235,68.1889
236,64.2333
237,62.1556
238,60.0556
239,59.8444
240,60.8222
241,62.7889
242,66.3111
243,69.8000
244,72.5667
245,74.0222
246,76.2000
247,78.6556
248,82.5778
249,86.6111
250,90.5111
251,93.7222
252,95.7889
253,97.1333
254,98.8000
255,98.7333
256,98.2111
257,98.1444
258,98.8333
259,99.2333
260,98.7889
261,97.1889
262,94.4444
263,92.8444
264,91.6222
265,90.9333
266,92.4333
267,94.2111
268,96.0222
269,96.6222
270,97.2333
271,97.5000
272,96.2556
273,93.0889
274,90.3333
275,87.9667
276,85.6444
277,83.0889
278,81.3556
279,78.9444
280,76.2000
281,72.4778
282,67.6667
283,61.9778
284,59.2667
285,58.5889
286,61.8333
287,65.7889
288,70.0556
289,73.7667
290,77.7000
291,81.7000
292,83.0444
293,82.6111
294,81.0667
295,83.1889
296,86.2889
297,88.4889
298,91.7333
299,95.1778
300,97.5778
301,98.1222
302,98.1889
303,98.1556
304,97.6000
305,95.4667
306,92.5778
307,89.1889
308,86.8333
309,85.1444
310,83.0222
311,81.9444
312,81.8667
313,82.8000
314,84.7222
315,86.1000
316,86.5778
317,86.5556
318,85.5333
319,84.8556
320,83.0556
321,80.7444
322,78.4333
323,75.6556
324,71.3111
325,67.1889
326,62.4111
327,59.0333
328,56.4667
329,55.3889
330,56.2333
331,58.6222
332,60.4556
333,61.5222
